,Month,NDVI_mean,NDVI_std,NDWI_mean,NDWI_std,NDMI_mean,NDMI_std,Band_4_mean,Band_4_std,Band_5_mean,Band_5_std,Band_6_mean,Band_6_std,Band_7_mean,Band_7_std,Band_8_mean,Band_8_std,Band_9_mean,Band_9_std,Band_10_mean,Band_10_std,Band_11_mean,Band_11_std
0,2018-05-01,0.23886506,0.04407239,-0.34719974,0.027316052,-0.06184221,0.03330312,0.0698503,0.0049278913,0.09536587,0.0069735604,0.15324542,0.009457656,0.19475295,0.018557552,0.3159754,0.008556583,0.35842964,0.024999416,0.28070533,0.023388576,0.0015094952,0.00013520622
1,2018-05-05,0.21372579,0.024453267,-0.3465636,0.013957963,-0.07919418,0.013713133,0.06767318,0.0015917805,0.096585095,0.0035008912,0.1540865,0.0047106855,0.20586137,0.010583836,0.31748095,0.0049352827,0.37220737,0.010607988,0.28971568,0.010176586,0.0018920206,6.4384505e-05
2,2018-05-09,0.25140643,0.048116848,-0.3791953,0.03115761,-0.06717455,0.026631525,0.06354016,0.00534371,0.088166185,0.009419231,0.14402394,0.0112613095,0.19192892,0.021056483,0.31941107,0.008622878,0.36598304,0.022005346,0.28333035,0.023230819,0.0018896107,7.903582e-05
3,2018-05-13,0.19679676,0.022205442,-0.32164037,0.01284411,-0.06644973,0.013995019,0.06618141,0.0016035625,0.101096496,0.0037710473,0.16737437,0.0045615984,0.21898472,0.010119257,0.3260676,0.0057238275,0.37258607,0.0105912555,0.28768617,0.010522074,0.0022882703,7.909947e-05
4,2018-05-17,0.22172518,0.037726283,-0.3450632,0.02193278,-0.07790456,0.026827058,0.068934396,0.0017007535,0.095651634,0.00531524,0.15242934,0.007258696,0.19979607,0.016010484,0.31294686,0.00881193,0.36625385,0.019657088,0.2849771,0.020165872,0.0021393974,9.6633994e-05
5,2018-05-21,0.25981078,0.05331441,-0.39133573,0.03627394,-0.072126016,0.03035296,0.05872255,0.007335893,0.083454885,0.008817883,0.13932276,0.01098362,0.18763953,0.020642677,0.31813744,0.011457488,0.36794865,0.019830571,0.289428,0.021940593,0.001666332,0.00011174415
6,2018-05-25,0.25981078,0.05331441,-0.39133573,0.03627394,-0.072126016,0.03035296,0.05872255,0.007335893,0.083454885,0.008817883,0.13932276,0.01098362,0.18763953,0.020642677,0.31813744,0.011457488,0.36794865,0.019830571,0.289428,0.021940593,0.001666332,0.00011174415
7,2018-05-29,0.22374107,0.047052726,-0.34544232,0.030526418,-0.06328614,0.030627325,0.06724819,0.002391828,0.09726007,0.007264964,0.15838361,0.00948097,0.2069614,0.018859588,0.32535684,0.008920655,0.36974132,0.019484274,0.2783561,0.020752506,0.0016467818,9.622403e-05
8,2018-06-01,0.23000312,0.041809484,-0.34740272,0.02742843,-0.06315855,0.024531472,0.07280625,0.002067428,0.10094558,0.0059344494,0.16078004,0.007526514,0.20809242,0.01515041,0.33196455,0.00978751,0.37681895,0.0131705,0.2977122,0.015559222,0.0017641434,8.9218265e-05
9,2018-06-05,,,,,,,,,,,,,,,,,,,,,,
10,2018-06-09,,,,,,,,,,,,,,,,,,,,,,
11,2018-06-13,0.23348068,0.04919232,-0.35428438,0.031662025,-0.06874683,0.031090723,0.07047313,0.0018956522,0.09639645,0.00656549,0.1560438,0.008312014,0.20375277,0.017175889,0.32727,0.009864974,0.37584385,0.016847704,0.29329073,0.020415373,0.0020022048,6.0176357e-05
12,2018-06-17,0.23391417,0.040586773,-0.32403812,0.02779348,-0.041796263,0.036927655,0.074357174,0.004166986,0.1033985,0.005107292,0.17146301,0.006609564,0.20875469,0.013566525,0.33600363,0.0113024805,0.36566782,0.019439748,0.27593634,0.022050485,0.001478008,0.00012303858
13,2018-06-21,,,,,,,,,,,,,,,,,,,,,,
14,2018-06-25,,,,,,,,,,,,,,,,,,,,,,
15,2018-06-29,,,,,,,,,,,,,,,,,,,,,,
16,2018-07-01,,,,,,,,,,,,,,,,,,,,,,
17,2018-07-05,0.2219952,0.031227242,-0.33330902,0.021169541,-0.0853453,0.023507463,0.055529967,0.0022186544,0.08230891,0.004059563,0.136653,0.0041440674,0.17402947,0.006816817,0.2734535,0.010029264,0.32435095,0.00598377,0.25160366,0.008696259,0.0028876364,6.6274966e-05
18,2018-07-09,0.2219952,0.031227242,-0.33330902,0.021169541,-0.0853453,0.023507463,0.055529967,0.0022186544,0.08230891,0.004059563,0.136653,0.0041440674,0.17402947,0.006816817,0.2734535,0.010029264,0.32435095,0.00598377,0.25160366,0.008696259,0.0028876364,6.6274966e-05
19,2018-07-13,,,,,,,,,,,,,,,,,,,,,,
20,2018-07-17,,,,,,,,,,,,,,,,,,,,,,
21,2018-07-21,,,,,,,,,,,,,,,,,,,,,,
22,2018-07-25,,,,,,,,,,,,,,,,,,,,,,
23,2018-07-29,,,,,,,,,,,,,,,,,,,,,,
24,2018-08-01,,,,,,,,,,,,,,,,,,,,,,
25,2018-08-05,,,,,,,,,,,,,,,,,,,,,,
26,2018-08-09,,,,,,,,,,,,,,,,,,,,,,
27,2018-08-13,,,,,,,,,,,,,,,,,,,,,,
28,2018-08-17,,,,,,,,,,,,,,,,,,,,,,
29,2018-08-21,,,,,,,,,,,,,,,,,,,,,,
30,2018-08-25,,,,,,,,,,,,,,,,,,,,,,
31,2018-08-29,,,,,,,,,,,,,,,,,,,,,,
32,2018-09-01,,,,,,,,,,,,,,,,,,,,,,
33,2018-09-05,,,,,,,,,,,,,,,,,,,,,,
34,2018-09-09,,,,,,,,,,,,,,,,,,,,,,
35,2018-09-13,0.6531266,0.12565291,-0.697085,0.1529836,0.18511006,0.035708155,0.0043464606,0.040204924,-0.005791138,0.05818586,0.0715939,0.052577857,0.082835004,0.049951654,0.3655004,0.05191298,0.25284326,0.048576403,0.1828739,0.045609675,0.0030992825,0.0006863427
36,2018-09-17,0.6531266,0.12565291,-0.697085,0.1529836,0.18511006,0.035708155,0.0043464606,0.040204924,-0.005791138,0.05818586,0.0715939,0.052577857,0.082835004,0.049951654,0.3655004,0.05191298,0.25284326,0.048576403,0.1828739,0.045609675,0.0030992825,0.0006863427
37,2018-09-21,,,,,,,,,,,,,,,,,,,,,,
38,2018-09-25,0.6237813,0.054438625,-0.6026089,0.03604174,0.12730658,0.038631253,0.036047388,0.0022174553,0.04296543,0.0064319107,0.07663831,0.007724213,0.071707234,0.011533225,0.30918172,0.01649224,0.2392311,0.012438397,0.14538734,0.016189024,0.0012386296,0.00010400576
39,2018-09-29,0.551013,0.06308434,-0.5667133,0.038601223,0.07281554,0.059152793,0.04146281,0.0018254522,0.049852494,0.0051694647,0.08537245,0.0059755,0.0894641,0.012023865,0.30949467,0.015540544,0.26768422,0.019106893,0.17358737,0.020721808,0.0013347355,4.8078207e-05
40,2018-10-01,0.551013,0.06308434,-0.5667133,0.038601223,0.07281554,0.059152793,0.04146281,0.0018254522,0.049852494,0.0051694647,0.08537245,0.0059755,0.0894641,0.012023865,0.30949467,0.015540544,0.26768422,0.019106893,0.17358737,0.020721808,0.0013347355,4.8078207e-05
