,Month,NDVI_mean,NDVI_std,NDWI_mean,NDWI_std,NDMI_mean,NDMI_std,Band_4_mean,Band_4_std,Band_5_mean,Band_5_std,Band_6_mean,Band_6_std,Band_7_mean,Band_7_std,Band_8_mean,Band_8_std,Band_9_mean,Band_9_std,Band_10_mean,Band_10_std,Band_11_mean,Band_11_std
0,2018-05-01,0.17490874,0.007996323,-0.2884514,0.0046165073,-0.08404503,0.0052241576,0.08827206,0.001930837,0.118349314,0.0025607299,0.17975111,0.0035038549,0.22861679,0.0062637804,0.32545778,0.003958624,0.38523874,0.008011114,0.31185913,0.007169893,0.0015930964,9.362821e-05
1,2018-05-05,0.17378196,0.00203547,-0.3041155,0.004355342,-0.091129996,0.00245581,0.071494244,0.00047697284,0.10642752,0.0010196477,0.1638354,0.0015927976,0.21612021,0.0020872937,0.30703,0.0022751398,0.3686082,0.0035336404,0.29523525,0.0034326045,0.0017215557,4.074575e-05
2,2018-05-09,0.16977878,0.005729619,-0.3041075,0.0047660293,-0.10477473,0.0070009837,0.07920766,0.0011646462,0.111338355,0.0020733739,0.1668019,0.0031659226,0.22185287,0.004161941,0.3125502,0.002916335,0.38573098,0.0051614684,0.31611526,0.005999542,0.0017527993,4.9945636e-05
3,2018-05-13,0.15875572,0.0034506219,-0.27525273,0.00421537,-0.083156414,0.0030952927,0.070852034,0.00035906583,0.11115588,0.0005664773,0.1757787,0.0017674646,0.2245384,0.0015879188,0.30927792,0.0012360121,0.36539817,0.0017852666,0.29186523,0.003173156,0.0024008898,8.898609e-07
4,2018-05-17,0.16527952,0.0060709747,-0.2935168,0.00458733,-0.103548534,0.0051571815,0.07246142,0.00047598276,0.10696312,0.0015686618,0.16319954,0.0021223035,0.21404675,0.003108785,0.2987968,0.0014976623,0.3678296,0.0034895195,0.2976576,0.004289778,0.0022180823,5.0573082e-05
5,2018-05-21,0.17284597,0.003075643,-0.30690318,0.0034574396,-0.11269687,0.004786397,0.07708096,0.000715334,0.10739025,0.001557437,0.16205138,0.0026730476,0.21549478,0.003096688,0.3055415,0.0032441544,0.3831502,0.0033434213,0.31870094,0.0047309236,0.0016130544,7.6006734e-05
6,2018-05-25,0.17284597,0.003075643,-0.30690318,0.0034574396,-0.11269687,0.004786397,0.07708096,0.000715334,0.10739025,0.001557437,0.16205138,0.0026730476,0.21549478,0.003096688,0.3055415,0.0032441544,0.3831502,0.0033434213,0.31870094,0.0047309236,0.0016130544,7.6006734e-05
7,2018-05-29,0.16093677,0.009200767,-0.28593877,0.006850036,-0.097403534,0.0051939934,0.0791136,0.0009843075,0.11546365,0.0026656543,0.17727695,0.0034380052,0.23075461,0.0051940246,0.31921133,0.0016458229,0.38813335,0.004725692,0.30994558,0.005564369,0.0017997102,8.149702e-06
8,2018-06-01,0.15805927,0.002585819,-0.28441656,0.0029897026,-0.09489764,0.0025001848,0.07505928,0.00042360864,0.11174568,0.0010092126,0.17379107,0.002125555,0.22678804,0.0024186554,0.31193545,0.0020249062,0.3773408,0.0026135107,0.31072223,0.00342697,0.0019731023,4.4104392e-05
9,2018-06-05,,,,,,,,,,,,,,,,,,,,,,
10,2018-06-09,,,,,,,,,,,,,,,,,,,,,,
11,2018-06-13,0.17785913,0.0026592512,-0.2921135,0.0031127452,-0.11036864,0.0074513224,0.07735631,0.0014216042,0.10768698,0.0035523428,0.16754851,0.0053826277,0.2134429,0.0059899352,0.30577955,0.00805555,0.3815963,0.0075824903,0.32133773,0.0084396405,0.0021832418,3.6873662e-05
12,2018-06-17,0.17347199,0.0077863988,-0.26416337,0.007844175,-0.08904355,0.014267779,0.077642284,0.0020644285,0.11150013,0.0023354103,0.17787582,0.0040164925,0.21527323,0.0058289603,0.30565926,0.009012358,0.36531672,0.005795863,0.29811716,0.007095369,0.0017675459,0.00013919707
13,2018-06-21,,,,,,,,,,,,,,,,,,,,,,
14,2018-06-25,,,,,,,,,,,,,,,,,,,,,,
15,2018-06-29,,,,,,,,,,,,,,,,,,,,,,
16,2018-07-01,,,,,,,,,,,,,,,,,,,,,,
17,2018-07-05,0.21112125,0.010170028,-0.3158679,0.008712025,-0.08309405,0.0097671,0.047188874,0.0056406492,0.084817186,0.0028839344,0.14061297,0.0030446125,0.17614731,0.0028102933,0.27047336,0.0059541655,0.31943673,0.0025853002,0.2502094,0.0042242426,0.0023824465,4.9003036e-05
18,2018-07-09,0.21112125,0.010170028,-0.3158679,0.008712025,-0.08309405,0.0097671,0.047188874,0.0056406492,0.084817186,0.0028839344,0.14061297,0.0030446125,0.17614731,0.0028102933,0.27047336,0.0059541655,0.31943673,0.0025853002,0.2502094,0.0042242426,0.0023824465,4.9003036e-05
19,2018-07-13,,,,,,,,,,,,,,,,,,,,,,
20,2018-07-17,,,,,,,,,,,,,,,,,,,,,,
21,2018-07-21,,,,,,,,,,,,,,,,,,,,,,
22,2018-07-25,,,,,,,,,,,,,,,,,,,,,,
23,2018-07-29,,,,,,,,,,,,,,,,,,,,,,
24,2018-08-01,,,,,,,,,,,,,,,,,,,,,,
25,2018-08-05,,,,,,,,,,,,,,,,,,,,,,
26,2018-08-09,,,,,,,,,,,,,,,,,,,,,,
27,2018-08-13,,,,,,,,,,,,,,,,,,,,,,
28,2018-08-17,,,,,,,,,,,,,,,,,,,,,,
29,2018-08-21,,,,,,,,,,,,,,,,,,,,,,
30,2018-08-25,,,,,,,,,,,,,,,,,,,,,,
31,2018-08-29,,,,,,,,,,,,,,,,,,,,,,
32,2018-09-01,,,,,,,,,,,,,,,,,,,,,,
33,2018-09-05,,,,,,,,,,,,,,,,,,,,,,
34,2018-09-09,,,,,,,,,,,,,,,,,,,,,,
35,2018-09-13,0.69606906,0.040197596,-0.6432791,0.03810581,0.16985565,0.015324325,0.10537032,0.022429561,0.025610043,0.0042457995,0.07526956,0.01058673,0.062040884,0.009494755,0.34537697,0.00930868,0.24503908,0.005549025,0.12622732,0.0022948463,0.0029393095,0.00048788276
36,2018-09-17,0.69606906,0.040197596,-0.6432791,0.03810581,0.16985565,0.015324325,0.10537032,0.022429561,0.025610043,0.0042457995,0.07526956,0.01058673,0.062040884,0.009494755,0.34537697,0.00930868,0.24503908,0.005549025,0.12622732,0.0022948463,0.0029393095,0.00048788276
37,2018-09-21,,,,,,,,,,,,,,,,,,,,,,
38,2018-09-25,0.5431287,0.02958392,-0.5309489,0.016984671,0.028480861,0.029711077,0.040518675,0.001172241,0.04787842,0.0018759147,0.07890807,0.0013295489,0.07623038,0.003667772,0.25787067,0.010072165,0.2434794,0.006564791,0.1529725,0.008254002,0.0013172337,4.9894923e-05
39,2018-09-29,0.4505842,0.019995464,-0.48424178,0.013906415,-0.043772835,0.018466575,0.045080908,0.0014153054,0.059212163,0.0020462682,0.09485274,0.0026896663,0.10340737,0.0041422956,0.27297673,0.004076498,0.29802808,0.007067447,0.20244278,0.00826452,0.0014843538,5.125371e-05
40,2018-10-01,0.4505842,0.019995464,-0.48424178,0.013906415,-0.043772835,0.018466575,0.045080908,0.0014153054,0.059212163,0.0020462682,0.09485274,0.0026896663,0.10340737,0.0041422956,0.27297673,0.004076498,0.29802808,0.007067447,0.20244278,0.00826452,0.0014843538,5.125371e-05
41,2018-10-05,0.31338337,0.04921896,-0.3844234,0.03903854,-0.085495636,0.03699995,0.053638324,0.0016405062,0.06802042,0.0023546796,0.1032293,0.002589906,0.12140797,0.005082982,0.23303562,0.016284049,0.27603126,0.0047547943,0.2194914,0.009295748,0.001128782,9.028494e-05
42,2018-10-09,0.27738348,0.012964027,-0.37602416,0.011085629,-0.10580327,0.013243583,0.04871464,0.0005743847,0.06722374,0.0010654143,0.1029193,0.0019349665,0.12838998,0.0020281386,0.22703572,0.00625319,0.2806809,0.0028340267,0.2259348,0.004407818,0.0015830236,3.9687096e-05
43,2018-10-13,0.30323023,0.031625554,-0.3985229,0.023071703,-0.08445667,0.02732042,0.048226047,0.0014492454,0.06087742,0.0018495522,0.09443999,0.0023001202,0.11737349,0.0024496368,0.22012505,0.01443238,0.26023147,0.0034963267,0.19674522,0.002679376,0.0012532725,0.00010506109
44,2018-10-17,0.30323023,0.031625554,-0.3985229,0.023071703,-0.08445667,0.02732042,0.048226047,0.0014492454,0.06087742,0.0018495522,0.09443999,0.0023001202,0.11737349,0.0024496368,0.22012505,0.01443238,0.26023147,0.0034963267,0.19674522,0.002679376,0.0012532725,0.00010506109
45,2018-10-21,0.24915183,0.023649242,-0.36391637,0.018412147,-0.1180161,0.020486973,0.046334602,0.003087863,0.06610166,0.0020575263,0.10035602,0.0021355043,0.12935787,0.0032057695,0.21533881,0.007456037,0.2728557,0.003611192,0.22764198,0.0071004094,0.0014856156,7.425607e-05
46,2018-10-25,0.24748659,0.039502103,-0.3354516,0.032696225,-0.1008462,0.036425598,0.052841634,0.0028813668,0.06774248,0.0035979715,0.102844045,0.004118038,0.1247245,0.0061719134,0.20688187,0.008774602,0.2533501,0.010562154,0.20846084,0.014644819,0.0009253011,0.00013341196
47,2018-10-29,,,,,,,,,,,,,,,,,,,,,,
48,2018-11-01,,,,,,,,,,,,,,,,,,,,,,
49,2018-11-05,0.29633865,0.03396211,-0.37952077,0.024359131,-0.07517303,0.029078493,0.051871106,0.0010786914,0.06598469,0.0014707295,0.10034408,0.0027703566,0.12115146,0.005465173,0.22325327,0.006888519,0.25957453,0.00772669,0.2134133,0.01196337,0.0013158695,4.2489424e-05
50,2018-11-09,0.27052963,0.009451691,-0.36683524,0.009324039,-0.085364416,0.01234508,0.050780613,0.0013865374,0.06748013,0.0010455619,0.10497514,0.0019531148,0.13010468,0.001993779,0.22661872,0.003751084,0.26892507,0.003963013,0.22857618,0.004868372,0.0011462752,0.00010620171
51,2018-11-13,0.35163343,0.01892655,-0.41202542,0.0145040965,-0.020256687,0.012044539,0.044943687,0.00023703346,0.057535782,0.0020860236,0.09333393,0.0034167564,0.10761098,0.006076138,0.22420858,0.008452099,0.2334507,0.007935134,0.17609686,0.010692541,0.0012682439,4.6761357e-05
52,2018-11-17,,,,,,,,,,,,,,,,,,,,,,
53,2018-11-21,,,,,,,,,,,,,,,,,,,,,,
54,2018-11-25,0.5706671,0.067360885,-0.5464816,0.030962052,0.1839486,0.052997317,0.029640552,0.0014839292,0.04629173,0.0039897943,0.08921468,0.0028129427,0.08287389,0.009591217,0.30608717,0.02876635,0.20988342,0.0058951806,0.14197455,0.014307165,0.004270192,4.630276e-05
55,2018-11-29,0.7161236,0.043630227,-0.64123243,0.019288778,0.3183384,0.043122936,0.02832898,0.0021658912,0.034122813,0.0024429038,0.08081396,0.0020963375,0.060820278,0.006049154,0.37141103,0.031225557,0.1911109,0.003993226,0.101957336,0.0073729916,0.0015636841,4.7893096e-05
56,2019-05-01,0.18007061,0.012427486,-0.30857015,0.008477844,-0.10520351,0.008913108,0.07508048,0.0002657593,0.110020734,0.002916965,0.16504398,0.0033625062,0.21706547,0.0059001693,0.3123558,0.005243225,0.3858015,0.0060786176,0.31207955,0.007241686,0.0019107161,4.4323137e-05
