,Month,NDVI_mean,NDVI_std,NDWI_mean,NDWI_std,NDMI_mean,NDMI_std,Band_4_mean,Band_4_std,Band_5_mean,Band_5_std,Band_6_mean,Band_6_std,Band_7_mean,Band_7_std,Band_8_mean,Band_8_std,Band_9_mean,Band_9_std,Band_10_mean,Band_10_std,Band_11_mean,Band_11_std
82,2019-08-09,,,,,,,,,,,,,,,,,,,,,,
83,2019-08-13,,,,,,,,,,,,,,,,,,,,,,
84,2019-08-17,,,,,,,,,,,,,,,,,,,,,,
85,2019-08-21,,,,,,,,,,,,,,,,,,,,,,
86,2019-08-25,,,,,,,,,,,,,,,,,,,,,,
87,2019-08-29,,,,,,,,,,,,,,,,,,,,,,
88,2019-09-01,,,,,,,,,,,,,,,,,,,,,,
89,2019-09-05,,,,,,,,,,,,,,,,,,,,,,
90,2019-09-09,,,,,,,,,,,,,,,,,,,,,,
91,2019-09-13,,,,,,,,,,,,,,,,,,,,,,
92,2019-09-17,,,,,,,,,,,,,,,,,,,,,,
93,2019-09-21,,,,,,,,,,,,,,,,,,,,,,
94,2019-09-25,,,,,,,,,,,,,,,,,,,,,,
95,2019-09-29,0.6414687,0.05272797,-0.59212595,0.032625917,0.16013214,0.01780444,0.020337494,0.00614057,0.030209752,0.0045835576,0.068765685,0.0022125614,0.058462653,0.0056251455,0.2699439,0.021585334,0.19516335,0.012257478,0.0964416,0.005562426,0.0009146484,6.256697e-05
96,2019-10-01,0.6414687,0.05272797,-0.59212595,0.032625917,0.16013214,0.01780444,0.020337494,0.00614057,0.030209752,0.0045835576,0.068765685,0.0022125614,0.058462653,0.0056251455,0.2699439,0.021585334,0.19516335,0.012257478,0.0964416,0.005562426,0.0009146484,6.256697e-05
97,2019-10-05,0.5601804,0.04039666,-0.54238564,0.023254812,0.07301183,0.023087248,0.028162608,0.0039368244,0.03821144,0.0044515,0.07751535,0.0022876959,0.07363602,0.0055818167,0.26174706,0.012392251,0.22590926,0.005191752,0.1270844,0.00592927,0.0010403424,0.0001424073
98,2019-10-09,0.4294279,0.042039614,-0.46772388,0.024801694,-0.05514162,0.024811387,0.041440405,0.0032629394,0.05227559,0.0066607515,0.08726356,0.007220667,0.09629987,0.011764433,0.24022219,0.00929998,0.268814,0.020247005,0.18667448,0.020071719,0.0012300573,7.20582e-05
99,2019-10-13,0.36554593,0.022682587,-0.43929458,0.01642581,-0.10270651,0.019893236,0.04469635,0.0009292547,0.06016477,0.0027852408,0.09585169,0.0036563072,0.11433388,0.005195835,0.2460422,0.00654186,0.30247992,0.010759301,0.22224808,0.009397781,0.0011959833,9.041508e-05
100,2019-10-17,0.36554593,0.022682587,-0.43929458,0.01642581,-0.10270651,0.019893236,0.04469635,0.0009292547,0.06016477,0.0027852408,0.09585169,0.0036563072,0.11433388,0.005195835,0.2460422,0.00654186,0.30247992,0.010759301,0.22224808,0.009397781,0.0011959833,9.041508e-05
101,2019-10-21,0.3455183,0.016425515,-0.41996077,0.015223563,-0.106587194,0.017944572,0.051397957,0.0016803964,0.06747609,0.0044827755,0.10299638,0.005423672,0.122638606,0.006179146,0.2519758,0.007492868,0.3121986,0.011451035,0.24040957,0.009887968,0.0027826051,0.00010586084
102,2019-10-25,,,,,,,,,,,,,,,,,,,,,,
103,2019-10-29,0.2561571,0.027286869,-0.355584,0.019852674,-0.15420881,0.025971776,0.04205698,0.0008225082,0.05570407,0.0016194338,0.084463745,0.0024846296,0.10524254,0.0041780835,0.17777406,0.0063863797,0.2426468,0.008405546,0.20161632,0.010349238,0.0012656846,8.677105e-05
104,2019-11-01,0.2561571,0.027286869,-0.355584,0.019852674,-0.15420881,0.025971776,0.04205698,0.0008225082,0.05570407,0.0016194338,0.084463745,0.0024846296,0.10524254,0.0041780835,0.17777406,0.0063863797,0.2426468,0.008405546,0.20161632,0.010349238,0.0012656846,8.677105e-05
105,2019-11-05,,,,,,,,,,,,,,,,,,,,,,
106,2019-11-09,0.28798333,0.023761306,-0.38843894,0.015257299,-0.122676246,0.023445023,0.035494942,0.0024705462,0.047143813,0.0016010796,0.0756975,0.0022943253,0.09504836,0.0043607573,0.1718928,0.004948825,0.22014824,0.010399869,0.17011185,0.01427842,0.0010663242,8.103322e-05
107,2019-11-13,0.32860518,0.024577461,-0.41876018,0.014449064,-0.09901375,0.021268604,0.030800633,0.0031929319,0.045570843,0.00190115,0.0759289,0.0029252758,0.09369854,0.004986055,0.18533231,0.0056003626,0.22619364,0.009772196,0.17611091,0.012173259,0.0012543782,0.00013301779
108,2019-11-17,0.4102795,0.027545631,-0.46322104,0.020489683,-0.03350461,0.025518239,0.03378891,0.0011858441,0.039325975,0.0032912756,0.06683143,0.00512351,0.076267265,0.007191467,0.1822113,0.012550141,0.19507138,0.01648498,0.12879223,0.016960021,0.0015889856,6.0065267e-05
109,2019-11-21,0.4102795,0.027545631,-0.46322104,0.020489683,-0.03350461,0.025518239,0.03378891,0.0011858441,0.039325975,0.0032912756,0.06683143,0.00512351,0.076267265,0.007191467,0.1822113,0.012550141,0.19507138,0.01648498,0.12879223,0.016960021,0.0015889856,6.0065267e-05
110,2019-11-25,0.51185215,0.026069418,-0.5316727,0.015289925,0.04215461,0.025979009,0.025674883,0.00085332664,0.034036327,0.002468984,0.063743874,0.004351902,0.06744888,0.006902973,0.20834126,0.010122895,0.19184424,0.015146285,0.12330222,0.0150271,0.0012219311,6.3010164e-05
111,2019-11-29,,,,,,,,,,,,,,,,,,,,,,
112,2020-05-01,0.23005694,0.04546389,-0.36422318,0.031802062,-0.13400613,0.029733,0.056204382,0.0036206685,0.082837954,0.0062557887,0.13024475,0.009010752,0.17510343,0.0144638475,0.27938753,0.013298203,0.36575618,0.012786377,0.2914811,0.014753994,0.0014044852,8.4252926e-05
113,2020-05-05,0.20921494,0.030725958,-0.31657982,0.025896821,-0.13746983,0.028462688,0.066889904,0.004244513,0.089989476,0.0058944672,0.13765927,0.007986517,0.17344472,0.010143026,0.26524603,0.013832372,0.3496745,0.013907689,0.29446355,0.016070915,0.0013119557,8.42425e-05
114,2020-05-09,0.22751448,0.039238967,-0.36021063,0.03489915,-0.1135458,0.022656133,0.03325743,0.007744275,0.05956792,0.009105698,0.1057926,0.008555404,0.14183971,0.0140931,0.22553906,0.022934703,0.28277445,0.021266593,0.22156344,0.020321056,0.0051536206,0.0019378015
115,2020-05-13,0.23624223,0.03491649,-0.35873386,0.024923187,-0.15609011,0.026324663,0.05312952,0.0032715474,0.06923682,0.00293046,0.10733332,0.0030472483,0.14054601,0.005755394,0.22775766,0.011817673,0.31173173,0.005666743,0.25549722,0.0073291594,0.001395911,5.2007672e-05
116,2020-05-17,,,,,,,,,,,,,,,,,,,,,,
117,2020-05-21,0.2243467,0.039993532,-0.34504938,0.028033758,-0.14442691,0.029543536,0.055668205,0.0020547325,0.073484436,0.0040520527,0.11591165,0.0050374474,0.15087555,0.008343702,0.23838511,0.013949587,0.3184953,0.0065409997,0.2636584,0.008775115,0.0014223342,7.768986e-05
118,2020-05-25,0.22077799,0.030263057,-0.33837754,0.022657884,-0.1485147,0.022023635,0.05378561,0.0011476192,0.07183209,0.0032242695,0.11519313,0.004403235,0.14878651,0.0069428617,0.2332802,0.012580448,0.31435055,0.007320015,0.257814,0.007735148,0.0011921452,8.566478e-05
119,2020-05-29,0.22077799,0.030263057,-0.33837754,0.022657884,-0.1485147,0.022023635,0.05378561,0.0011476192,0.07183209,0.0032242695,0.11519313,0.004403235,0.14878651,0.0069428617,0.2332802,0.012580448,0.31435055,0.007320015,0.257814,0.007735148,0.0011921452,8.566478e-05
