,Month,NDVI_mean,NDVI_std,NDWI_mean,NDWI_std,NDMI_mean,NDMI_std,Band_4_mean,Band_4_std,Band_5_mean,Band_5_std,Band_6_mean,Band_6_std,Band_7_mean,Band_7_std,Band_8_mean,Band_8_std,Band_9_mean,Band_9_std,Band_10_mean,Band_10_std,Band_11_mean,Band_11_std
0,2018-05-01,0.16878343,0.008880568,-0.27637887,0.00668313,-0.14169626,0.007607449,0.07684552,0.0029736217,0.10348315,0.0036102138,0.16355315,0.004692204,0.20520134,0.006986943,0.2885349,0.009558255,0.38371333,0.009504391,0.32354477,0.008268067,0.0018234127,9.5699244e-05
1,2018-05-05,0.17288369,0.003178325,-0.29470876,0.00373525,-0.14233327,0.0046467553,0.07110668,0.0013573706,0.09995355,0.002495283,0.15405387,0.0034203124,0.19943477,0.0044646263,0.28279367,0.005766734,0.376614,0.0050702696,0.31044823,0.004778146,0.0018637292,4.955361e-05
2,2018-05-09,0.18014751,0.0054992293,-0.30378547,0.005949675,-0.17210719,0.0067984946,0.07554103,0.001654043,0.09642544,0.00259942,0.14750293,0.003578711,0.19190626,0.0049410197,0.2762096,0.0056007095,0.39102736,0.0066696038,0.32904527,0.007356552,0.0018540799,4.983774e-05
3,2018-05-13,0.15606372,0.002297446,-0.2732436,0.0023676998,-0.12058727,0.0019459518,0.07101228,0.0011359169,0.107535034,0.0019142507,0.17116457,0.0025372421,0.21893492,0.0032966465,0.29985902,0.0036616412,0.3821017,0.004103259,0.30939308,0.0037935101,0.0022605958,4.8546415e-05
4,2018-05-17,0.16592126,0.0044748336,-0.2830513,0.002902081,-0.14715171,0.0034352767,0.07464422,0.0018145464,0.1040152,0.0027063494,0.1605213,0.0036232437,0.20553645,0.0052725542,0.28725392,0.005425421,0.3863598,0.006408235,0.31922603,0.0062259305,0.0022338668,4.9552145e-05
5,2018-05-21,0.17764881,0.0034746982,-0.30758986,0.0032180839,-0.16878174,0.0038898413,0.07506668,0.00083917845,0.09738218,0.0015284655,0.14869152,0.0025485621,0.19608003,0.0033217024,0.2807838,0.003798151,0.39479426,0.004364778,0.3344549,0.0055616214,0.0018300016,4.5808556e-05
6,2018-05-25,0.17764881,0.0034746982,-0.30758986,0.0032180839,-0.16878174,0.0038898413,0.07506668,0.00083917845,0.09738218,0.0015284655,0.14869152,0.0025485621,0.19608003,0.0033217024,0.2807838,0.003798151,0.39479426,0.004364778,0.3344549,0.0055616214,0.0018300016,4.5808556e-05
7,2018-05-29,0.15928309,0.0047837687,-0.27659193,0.0033478008,-0.14305186,0.0046290774,0.076057315,0.0015518734,0.10700652,0.0024591794,0.16680637,0.0034330771,0.21348505,0.004796748,0.29434386,0.0048328093,0.39259923,0.005773011,0.31647757,0.006309531,0.0017948506,2.2875322e-05
8,2018-06-01,0.15579101,0.0034467238,-0.2757314,0.0025677078,-0.14148484,0.0040949467,0.07794755,0.001423625,0.10917285,0.0020650902,0.16840173,0.0027729657,0.2166635,0.0037285704,0.296621,0.004188091,0.39436635,0.0041453387,0.329415,0.0042204247,0.0021937236,4.4531902e-05
9,2018-06-05,,,,,,,,,,,,,,,,,,,,,,
10,2018-06-09,,,,,,,,,,,,,,,,,,,,,,
11,2018-06-13,,,,,,,,,,,,,,,,,,,,,,
12,2018-06-17,0.21096118,0.00025676726,-0.3035672,0.00020357019,-0.12911817,0.000277194,0.07374667,6.1821745e-05,0.101953335,7.180235e-05,0.16471335,0.000102417005,0.2008867,0.00014079381,0.30830663,0.00014817686,0.3997267,0.00023795421,0.31031334,0.0002655016,0.0017000004,3.4924597e-10
13,2018-06-21,,,,,,,,,,,,,,,,,,,,,,
14,2018-06-25,,,,,,,,,,,,,,,,,,,,,,
15,2018-06-29,,,,,,,,,,,,,,,,,,,,,,
16,2018-07-01,,,,,,,,,,,,,,,,,,,,,,
