,Month,NDVI_mean,NDVI_std,NDWI_mean,NDWI_std,NDMI_mean,NDMI_std,Band_4_mean,Band_4_std,Band_5_mean,Band_5_std,Band_6_mean,Band_6_std,Band_7_mean,Band_7_std,Band_8_mean,Band_8_std,Band_9_mean,Band_9_std,Band_10_mean,Band_10_std,Band_11_mean,Band_11_std
0,2018-05-01,0.20766264,0.0028472852,-0.32707635,0.0037415382,-0.079650685,0.0053616543,0.076836616,0.0011521576,0.10224183,0.0015357947,0.15741983,0.0023831602,0.20369832,0.0039274828,0.31045613,0.0050272965,0.36417893,0.004759243,0.28062013,0.0036364263,0.0016540207,0.00013887518
1,2018-05-05,0.20309222,0.009895885,-0.3372836,0.007750697,-0.09204858,0.0039007196,0.06484683,0.00047584003,0.09292684,0.0022290791,0.14550987,0.0030599614,0.19450812,0.0047454797,0.29358009,0.0018746433,0.35311842,0.0037533413,0.2729403,0.003957048,0.0017021594,8.884121e-05
2,2018-05-09,0.22909518,0.014985711,-0.3777893,0.013724887,-0.10401907,0.00351016,0.062453464,0.0009573763,0.08504485,0.0039026686,0.13707548,0.0057052644,0.19039573,0.007968018,0.30334747,0.003553449,0.37380254,0.005731383,0.2867578,0.0066628247,0.0017352488,4.7727557e-05
3,2018-05-13,0.18023328,0.005352262,-0.3053461,0.004311084,-0.08880183,0.0029767943,0.06448858,0.00039683277,0.09942333,0.0017254795,0.15871432,0.001962528,0.20715939,0.0029913357,0.29823086,0.001268537,0.3563634,0.002963039,0.2744185,0.0033383463,0.00222377,0.00012336334
4,2018-05-17,0.20149504,0.008023004,-0.3294862,0.006847594,-0.10674731,0.003250583,0.066721275,0.00066371704,0.092870645,0.0020175343,0.1444658,0.0032223854,0.19037554,0.0044755545,0.28639534,0.002644086,0.3548469,0.003272589,0.2739995,0.0044638957,0.00209472,7.393424e-05
5,2018-05-21,0.22359964,0.0110054705,-0.36077964,0.009681813,-0.13807319,0.0077226665,0.061817445,0.0016314051,0.07883145,0.0021514627,0.123070925,0.0030887234,0.16627103,0.005189696,0.26201084,0.0064709806,0.3459109,0.0058604865,0.280603,0.0049910913,0.0015133149,7.9811696e-05
6,2018-05-25,0.22359964,0.0110054705,-0.36077964,0.009681813,-0.13807319,0.0077226665,0.061817445,0.0016314051,0.07883145,0.0021514627,0.123070925,0.0030887234,0.16627103,0.005189696,0.26201084,0.0064709806,0.3459109,0.0058604865,0.280603,0.0049910913,0.0015133149,7.9811696e-05
7,2018-05-29,0.1961431,0.007857584,-0.321853,0.007251044,-0.11854106,0.005862247,0.0657997,0.0016230794,0.09042587,0.0019679794,0.14301437,0.0024235286,0.18736191,0.0040984326,0.2787805,0.004855071,0.35374525,0.0052121524,0.27442822,0.0043295114,0.00173543,4.7786638e-05
8,2018-06-01,0.18694314,0.008445171,-0.3126392,0.0077294493,-0.11255091,0.0045698336,0.06737513,0.00089477235,0.093847744,0.0016707086,0.1469735,0.002170906,0.1922773,0.0037433885,0.28069136,0.004586517,0.351865,0.003971004,0.2848458,0.003205642,0.0019214198,7.7229735e-05
9,2018-06-05,,,,,,,,,,,,,,,,,,,,,,
