,Month,NDVI_mean,NDVI_std,NDWI_mean,NDWI_std,NDMI_mean,NDMI_std,Band_4_mean,Band_4_std,Band_5_mean,Band_5_std,Band_6_mean,Band_6_std,Band_7_mean,Band_7_std,Band_8_mean,Band_8_std,Band_9_mean,Band_9_std,Band_10_mean,Band_10_std,Band_11_mean,Band_11_std
0,2018-05-01,0.20413494,0.01795773,-0.3311193,0.012350376,-0.095649146,0.013894441,0.07257639,0.0050323526,0.098814815,0.0045879516,0.16097566,0.0043842364,0.21180081,0.007890947,0.32027787,0.0021229621,0.3881956,0.0110943355,0.3206991,0.01296377,0.0015813436,5.8425452e-05
1,2018-05-05,0.18318707,0.007923433,-0.32521462,0.0050272606,-0.10543163,0.005535344,0.072483905,0.0011282001,0.10080055,0.0015425733,0.15960671,0.0025407241,0.216413,0.0046249777,0.31343347,0.0028450608,0.38732925,0.0044120597,0.31778926,0.0062187114,0.0019048719,5.8990485e-05
2,2018-05-09,0.22465582,0.008188477,-0.36525872,0.0053550876,-0.093734995,0.0055281036,0.072403446,0.0010683497,0.09451979,0.0015030002,0.15080677,0.0023867604,0.20538008,0.004294261,0.32434052,0.001461988,0.39147535,0.005812734,0.31768233,0.0068828324,0.0017627954,4.8336296e-05
3,2018-05-13,0.17278333,0.008536939,-0.304653,0.0060502426,-0.08885267,0.005672882,0.072045885,0.0011816444,0.10714662,0.0018685894,0.17413302,0.002484783,0.23047213,0.0042617954,0.3266996,0.0017895594,0.3904434,0.0042172237,0.31543517,0.0062590875,0.0022482986,5.007205e-05
4,2018-05-17,0.18201572,0.010457381,-0.3199075,0.008096705,-0.11643714,0.00839659,0.07421681,0.0013730376,0.10211144,0.0013080696,0.16108677,0.0024079718,0.21637106,0.0040552192,0.31262013,0.0017399065,0.39505696,0.0054205772,0.3249375,0.008007857,0.002124581,0.00012556584
5,2018-05-21,0.22458467,0.0052955816,-0.3686925,0.0036719658,-0.09944304,0.0031436752,0.069918856,0.00067809614,0.09393204,0.001053141,0.1493367,0.0014912239,0.205018,0.0026491093,0.32375535,0.0008630196,0.3952682,0.0031773325,0.32002378,0.0041617244,0.0015947442,2.2354623e-05
6,2018-05-25,0.22458467,0.0052955816,-0.3686925,0.0036719658,-0.09944304,0.0031436752,0.069918856,0.00067809614,0.09393204,0.001053141,0.1493367,0.0014912239,0.205018,0.0026491093,0.32375535,0.0008630196,0.3952682,0.0031773325,0.32002378,0.0041617244,0.0015947442,2.2354623e-05
7,2018-05-29,0.19851641,0.011057948,-0.32655525,0.0075528896,-0.085372165,0.008871374,0.07410656,0.0016827397,0.10414057,0.002231766,0.16752936,0.0028556357,0.22070755,0.00509982,0.3299711,0.00051922764,0.39163604,0.0069673164,0.30521896,0.007963661,0.0017542468,5.7139732e-05
8,2018-06-01,0.19950587,0.008108387,-0.33289978,0.0055505233,-0.0880609,0.0057721115,0.07647672,0.0011698997,0.10430963,0.0012926812,0.16516975,0.0020264843,0.22025214,0.0036700077,0.3300017,0.00030704727,0.39376286,0.0044827564,0.32174394,0.0057451446,0.0019000266,2.6542693e-08
9,2018-06-05,,,,,,,,,,,,,,,,,,,,,,
