,Month,NDVI_mean,NDVI_std,NDWI_mean,NDWI_std,NDMI_mean,NDMI_std,Band_4_mean,Band_4_std,Band_5_mean,Band_5_std,Band_6_mean,Band_6_std,Band_7_mean,Band_7_std,Band_8_mean,Band_8_std,Band_9_mean,Band_9_std,Band_10_mean,Band_10_std,Band_11_mean,Band_11_std
0,2018-05-01,0.24642906,0.03472047,-0.36925897,0.020240111,-0.14244464,0.029673126,0.052865088,0.00445149,0.07031363,0.0022879047,0.1137449,0.0052705794,0.14949222,0.011146232,0.24709097,0.012635942,0.32903668,0.011712167,0.26029935,0.013743972,0.0015413191,0.0001061835
1,2018-05-05,0.24642906,0.03472047,-0.36925897,0.020240111,-0.14244464,0.029673126,0.052865088,0.00445149,0.07031363,0.0022879047,0.1137449,0.0052705794,0.14949222,0.011146232,0.24709097,0.012635942,0.32903668,0.011712167,0.26029935,0.013743972,0.0015413191,0.0001061835
2,2018-05-09,0.2625421,0.057114583,-0.3839856,0.033842962,-0.14191929,0.04936649,0.054320075,0.0058109737,0.07099538,0.006784447,0.114670046,0.0072843027,0.1507165,0.014104261,0.2581821,0.019382903,0.3433962,0.019431861,0.27733105,0.022447383,0.0016590423,9.017899e-05
3,2018-05-13,0.20024574,0.024211587,-0.31798664,0.015802728,-0.107775964,0.022229934,0.053395,0.0025783333,0.08570371,0.0033362163,0.14248984,0.0036998058,0.18353029,0.006714606,0.27548322,0.009251449,0.34198967,0.008616169,0.2692525,0.010688747,0.0021549524,0.00011878285
4,2018-05-17,0.24230807,0.044601254,-0.3615178,0.027337536,-0.14089574,0.036580604,0.054930564,0.0033504327,0.07294089,0.0027919805,0.1176276,0.0061424566,0.15318346,0.012070049,0.25120828,0.016089676,0.33332822,0.0137399705,0.26413837,0.016114675,0.0020747865,8.96216e-05
5,2018-05-21,0.2482244,0.043198742,-0.37499896,0.027512489,-0.14700699,0.03815311,0.05386035,0.0048233406,0.07072773,0.0032221698,0.11267794,0.005686328,0.14947641,0.011324638,0.24839889,0.017592369,0.33361638,0.014083546,0.26962176,0.016235318,0.001535418,6.2668994e-05
6,2018-05-25,0.2482244,0.043198742,-0.37499896,0.027512489,-0.14700699,0.03815311,0.05386035,0.0048233406,0.07072773,0.0032221698,0.11267794,0.005686328,0.14947641,0.011324638,0.24839889,0.017592369,0.33361638,0.014083546,0.26962176,0.016235318,0.001535418,6.2668994e-05
7,2018-05-29,0.22838998,0.04401212,-0.34629136,0.026473274,-0.12911564,0.033344835,0.05481496,0.0064720875,0.07748114,0.0039751595,0.12772958,0.0058848145,0.16543235,0.011958277,0.2633699,0.014719749,0.3412695,0.012867001,0.26413214,0.015526838,0.001626732,7.699222e-05
8,2018-06-01,0.21618521,0.030773044,-0.33747944,0.018277172,-0.12575166,0.024899764,0.05676967,0.007122529,0.08002258,0.0034964518,0.12971571,0.004626148,0.16889398,0.009384609,0.26207346,0.012316786,0.33731082,0.0105493255,0.27177173,0.012126705,0.0019419695,5.9207854e-05
9,2018-06-05,,,,,,,,,,,,,,,,,,,,,,
10,2018-06-09,,,,,,,,,,,,,,,,,,,,,,
11,2018-06-13,0.24272987,0.027077625,-0.3715871,0.015089944,-0.15142044,0.02803915,0.057679236,0.0020710723,0.0735333,0.004659125,0.118908875,0.008037603,0.15830304,0.013220437,0.259614,0.017678581,0.35186005,0.014960968,0.2816286,0.015012004,0.0019873553,0.00011319864
