,Month,NDVI_mean,NDVI_std,NDWI_mean,NDWI_std,NDMI_mean,NDMI_std,Band_4_mean,Band_4_std,Band_5_mean,Band_5_std,Band_6_mean,Band_6_std,Band_7_mean,Band_7_std,Band_8_mean,Band_8_std,Band_9_mean,Band_9_std,Band_10_mean,Band_10_std,Band_11_mean,Band_11_std
0,2018-05-01,0.18172032,0.0033694382,-0.29072973,0.0039156866,-0.13337031,0.0038519301,0.07727967,0.0022825056,0.10241433,0.0026777398,0.15448655,0.003923178,0.19469862,0.0056758355,0.2811545,0.0076856003,0.3676859,0.009792109,0.30607432,0.009007709,0.0016637079,0.00015382085
1,2018-05-05,0.17565186,0.0042985906,-0.29938686,0.0050279177,-0.121141165,0.0026028177,0.05565885,0.0018830342,0.0841177,0.001984705,0.13101675,0.0022655409,0.17038862,0.0029415898,0.24301045,0.0048162774,0.30999175,0.0060879616,0.24234553,0.00603312,0.0034805979,0.00025027263
2,2018-05-09,0.18873715,0.0057769697,-0.32224452,0.0050346614,-0.1512778,0.0058529363,0.07139835,0.0024258099,0.093947895,0.0042760964,0.14169437,0.0064446446,0.18870431,0.009530195,0.27642,0.0122202085,0.37484503,0.013890138,0.31247827,0.011671414,0.0018184483,0.00011236728
3,2018-05-13,0.16318122,0.0027069538,-0.27786005,0.002353791,-0.11784052,0.0022036785,0.06854697,0.00181658,0.10291687,0.0028044707,0.160035,0.0040590297,0.20374592,0.005282726,0.2831838,0.006511439,0.35884362,0.008351532,0.29125354,0.0075370246,0.0022074336,0.00012622116
4,2018-05-17,0.1731879,0.004098344,-0.2934771,0.0032306965,-0.14355552,0.00334974,0.07088472,0.002599303,0.09842146,0.0033640997,0.14818136,0.005233091,0.1912148,0.0074468376,0.27126727,0.009096387,0.36215803,0.010772951,0.2993063,0.00935787,0.002067635,7.503916e-05
5,2018-05-21,0.1864276,0.0041649826,-0.3209148,0.004338617,-0.15813676,0.0052107177,0.07000994,0.0017255903,0.0919101,0.0035582958,0.13813694,0.00566534,0.18429866,0.008549948,0.26871845,0.011540941,0.36955833,0.013106664,0.31140894,0.011192797,0.0016597013,8.134797e-05
6,2018-05-25,0.1864276,0.0041649826,-0.3209148,0.004338617,-0.15813676,0.0052107177,0.07000994,0.0017255903,0.0919101,0.0035582958,0.13813694,0.00566534,0.18429866,0.008549948,0.26871845,0.011540941,0.36955833,0.013106664,0.31140894,0.011192797,0.0016597013,8.134797e-05
7,2018-05-29,0.16367443,0.0034579625,-0.28371584,0.0034267197,-0.1329734,0.0038488824,0.07121867,0.002357684,0.10258787,0.0038035414,0.1568169,0.005287715,0.20200469,0.007225408,0.28103307,0.008870934,0.36718446,0.009922411,0.29535407,0.008213597,0.001694412,0.00010007171
8,2018-06-01,0.16881195,0.0033066252,-0.2874497,0.003280845,-0.13895267,0.0028005003,0.07279396,0.0022361332,0.10129798,0.0033762583,0.15216315,0.004679791,0.19552366,0.0062876465,0.274927,0.008072738,0.36362666,0.00966503,0.305485,0.009007898,0.0018557308,0.00011885448
9,2018-06-05,,,,,,,,,,,,,,,,,,,,,,
10,2018-06-09,,,,,,,,,,,,,,,,,,,,,,
