,Month,NDVI_mean,NDVI_std,NDWI_mean,NDWI_std,NDMI_mean,NDMI_std,Band_4_mean,Band_4_std,Band_5_mean,Band_5_std,Band_6_mean,Band_6_std,Band_7_mean,Band_7_std,Band_8_mean,Band_8_std,Band_9_mean,Band_9_std,Band_10_mean,Band_10_std,Band_11_mean,Band_11_std
0,2018-05-01,0.2154438,0.018896628,-0.33405247,0.014292535,-0.10513691,0.015847081,0.051881004,0.0017346153,0.07647477,0.0013640127,0.12458621,0.0015770665,0.16111588,0.0026072366,0.24971163,0.007931485,0.30825895,0.0023137908,0.24766208,0.004477142,0.0015724505,5.7701658e-05
1,2018-05-05,0.2154438,0.018896628,-0.33405247,0.014292535,-0.10513691,0.015847081,0.051881004,0.0017346153,0.07647477,0.0013640127,0.12458621,0.0015770665,0.16111588,0.0026072366,0.24971163,0.007931485,0.30825895,0.0023137908,0.24766208,0.004477142,0.0015724505,5.7701658e-05
2,2018-05-09,0.2558748,0.027814928,-0.37277427,0.02103975,-0.12264603,0.022244921,0.056369014,0.0017628125,0.06852028,0.0015054921,0.1098627,0.0022459596,0.14248082,0.003368476,0.24080445,0.012061796,0.30780938,0.0039438508,0.25105137,0.0053626304,0.0016594111,5.7020537e-05
3,2018-05-13,0.19392435,0.013758386,-0.3069111,0.011402271,-0.086064085,0.011739911,0.05278693,0.0013821949,0.08572927,0.0011084827,0.14375512,0.0014541188,0.18301249,0.002317205,0.2711459,0.0066032857,0.32212305,0.0024466666,0.25348106,0.003455756,0.0022388606,5.8754e-05
4,2018-05-17,0.20772363,0.016062167,-0.32334685,0.01201101,-0.11380884,0.012282389,0.054423306,0.0012879818,0.07802996,0.0011348008,0.12650064,0.00095520617,0.16230083,0.002021007,0.2475124,0.0064298226,0.3109935,0.0025109055,0.25161833,0.003986875,0.0020378972,4.857541e-05
5,2018-05-21,0.2229653,0.026005927,-0.3448427,0.019223979,-0.13098754,0.021163762,0.058888692,0.0027950879,0.07557554,0.0028311047,0.11654379,0.0017900245,0.1520327,0.0038507993,0.23949103,0.010112716,0.31148174,0.00391792,0.2582637,0.005940715,0.0014935188,8.0278216e-05
6,2018-05-25,0.2229653,0.026005927,-0.3448427,0.019223979,-0.13098754,0.021163762,0.058888692,0.0027950879,0.07557554,0.0028311047,0.11654379,0.0017900245,0.1520327,0.0038507993,0.23949103,0.010112716,0.31148174,0.00391792,0.2582637,0.005940715,0.0014935188,8.0278216e-05
7,2018-05-29,0.21314573,0.014712367,-0.32900536,0.011576724,-0.09849144,0.011446541,0.052371405,0.0013631771,0.07794196,0.001255422,0.13128124,0.0016424458,0.1686409,0.0023676823,0.26012403,0.007391957,0.31686458,0.0030653123,0.24744673,0.0027947137,0.001598163,8.314975e-05
8,2018-06-01,0.20196617,0.018872404,-0.32105207,0.012971741,-0.101608075,0.015095827,0.055132944,0.0016964343,0.0811554,0.0018152763,0.13311955,0.001626156,0.17198089,0.0031114293,0.2591394,0.0078007965,0.31764147,0.0024519502,0.2591617,0.0037474567,0.0018700325,5.1329618e-05
9,2018-06-05,,,,,,,,,,,,,,,,,,,,,,
