,Month,NDVI_mean,NDVI_std,NDWI_mean,NDWI_std,NDMI_mean,NDMI_std,Band_4_mean,Band_4_std,Band_5_mean,Band_5_std,Band_6_mean,Band_6_std,Band_7_mean,Band_7_std,Band_8_mean,Band_8_std,Band_9_mean,Band_9_std,Band_10_mean,Band_10_std,Band_11_mean,Band_11_std
0,2018-05-01,0.18361054,0.0066505102,-0.29912922,0.0054220385,-0.11794629,0.00647344,0.06827272,0.0011649422,0.09239575,0.0016316563,0.14332423,0.0023554834,0.18324764,0.003300093,0.26572716,0.0069160773,0.33672395,0.005418036,0.27366966,0.0026221205,0.0015750804,4.3187985e-05
1,2018-05-05,0.18034433,0.004361312,-0.31051335,0.0030471087,-0.121309616,0.0014279378,0.06262313,0.0007389647,0.08818924,0.0005018495,0.13749065,0.0007572019,0.18148279,0.0014969737,0.2613424,0.0022108553,0.33350554,0.002259867,0.26513717,0.0011507617,0.0017478531,4.994067e-05
2,2018-05-09,0.19910674,0.00531956,-0.34210473,0.004416042,-0.14897057,0.0033188155,0.061330676,0.0013431512,0.079709485,0.0013210478,0.12444973,0.0015295317,0.16956592,0.0021157574,0.25389698,0.004408868,0.34275576,0.0039062365,0.27526405,0.0020229283,0.0017773329,4.1910946e-05
3,2018-05-13,0.16680808,0.0017045987,-0.28925484,0.0022745954,-0.107775815,0.0011271996,0.061273064,0.000418947,0.095466174,0.0006951936,0.15161611,0.00078520866,0.1963913,0.0012571164,0.27502596,0.0016983678,0.34146127,0.0014107294,0.26798105,0.0010241924,0.0023213667,7.450066e-05
4,2018-05-17,0.17786787,0.0033224386,-0.3047839,0.002372741,-0.13746928,0.0017562094,0.06373381,0.00045981954,0.08878676,0.0009993489,0.13694589,0.0011226927,0.17939351,0.0012751223,0.25703058,0.0026803957,0.3389536,0.002712429,0.26981446,0.0016962785,0.0020518438,4.996165e-05
5,2018-05-21,0.19510263,0.0035198536,-0.34097877,0.0011863904,-0.1543431,0.0015867216,0.060941964,0.00064554374,0.07925437,0.0011035812,0.12376135,0.0014710885,0.16960965,0.0021296311,0.25182608,0.0027040874,0.34374496,0.0030477468,0.27807036,0.0017987685,0.0016208213,0.000119402204
6,2018-05-25,0.19510263,0.0035198536,-0.34097877,0.0011863904,-0.1543431,0.0015867216,0.060941964,0.00064554374,0.07925437,0.0011035812,0.12376135,0.0014710885,0.16960965,0.0021296311,0.25182608,0.0027040874,0.34374496,0.0030477468,0.27807036,0.0017987685,0.0016208213,0.000119402204
7,2018-05-29,0.17279175,0.0022919842,-0.29951227,0.0024623994,-0.13498211,0.003044618,0.065138035,0.0010075672,0.091483966,0.0015444262,0.14415894,0.0015277204,0.1886371,0.0021480191,0.26745343,0.004118611,0.3509013,0.003572339,0.2730895,0.0022138255,0.0015832714,5.3641976e-05
8,2018-06-01,0.16889513,0.0026543117,-0.2973622,0.0013280171,-0.12494148,0.0012034833,0.06669508,0.000873616,0.09447436,0.0007481236,0.14749758,0.0010664542,0.19364028,0.0008202037,0.27234524,0.00203519,0.35010937,0.0023633707,0.28399587,0.0013526181,0.0019196834,7.5832984e-05
9,2018-06-05,,,,,,,,,,,,,,,,,,,,,,
10,2018-06-09,,,,,,,,,,,,,,,,,,,,,,
11,2018-06-13,0.19468896,0.002505046,-0.31492135,0.002960952,-0.14520928,0.0015437484,0.06970698,0.000526014,0.095630504,0.00098065,0.14966287,0.0015492928,0.193653,0.0023058846,0.287281,0.0023577719,0.3848783,0.0024057156,0.31297457,0.001134175,0.0019459565,5.2813488e-05
