,Month,NDVI_mean,NDVI_std,NDWI_mean,NDWI_std,NDMI_mean,NDMI_std,Band_4_mean,Band_4_std,Band_5_mean,Band_5_std,Band_6_mean,Band_6_std,Band_7_mean,Band_7_std,Band_8_mean,Band_8_std,Band_9_mean,Band_9_std,Band_10_mean,Band_10_std,Band_11_mean,Band_11_std
0,2018-05-01,0.17939477,0.012196896,-0.29920426,0.010185364,-0.101670995,0.007382819,0.07917699,0.002367961,0.10882353,0.0031287186,0.16752926,0.0039910055,0.2161235,0.0058810455,0.31052262,0.0020555314,0.38086334,0.0063233096,0.30591536,0.008228339,0.0017728814,0.00014054007
1,2018-05-05,0.18536758,0.01009629,-0.31715044,0.008294182,-0.1033976,0.00643725,0.06795435,0.0018628971,0.098875254,0.002572163,0.15138602,0.003332977,0.20069629,0.0048650373,0.29196465,0.002098089,0.35934886,0.0060494165,0.28393996,0.00676903,0.001765672,5.3393742e-05
2,2018-05-09,0.1957562,0.0137705,-0.34330535,0.0114354985,-0.121830076,0.0051553687,0.0664633,0.0022906365,0.09465058,0.0036622237,0.14757232,0.0051517026,0.20305894,0.007596712,0.3017447,0.004194459,0.38550258,0.0072885933,0.30509743,0.0077462886,0.0017190559,6.5341905e-05
3,2018-05-13,0.16863269,0.0062654545,-0.2908322,0.00504777,-0.09715909,0.0035790866,0.06622937,0.0017593318,0.10371476,0.002141277,0.1630889,0.002537081,0.21119413,0.0036814432,0.29683766,0.0020784398,0.36074674,0.004352112,0.28280118,0.004876934,0.0022761181,4.2682943e-05
4,2018-05-17,0.17730391,0.008712905,-0.30471858,0.006666319,-0.118864134,0.0042396183,0.07022394,0.0026811028,0.100428514,0.0029620635,0.15313551,0.0034144644,0.20083055,0.0052192505,0.28732598,0.003733593,0.36484468,0.0043824175,0.28974718,0.00529988,0.0022032906,8.438255e-05
5,2018-05-21,0.1956531,0.013213742,-0.33431566,0.011580497,-0.13714401,0.0062698727,0.060461532,0.001957443,0.08796058,0.002933802,0.13817148,0.0038392423,0.18632759,0.0053348676,0.27688417,0.0020027552,0.36493388,0.0049996907,0.2989726,0.0073468178,0.0015485266,4.998035e-05
6,2018-05-25,0.1956531,0.013213742,-0.33431566,0.011580497,-0.13714401,0.0062698727,0.060461532,0.001957443,0.08796058,0.002933802,0.13817148,0.0038392423,0.18632759,0.0053348676,0.27688417,0.0020027552,0.36493388,0.0049996907,0.2989726,0.0073468178,0.0015485266,4.998035e-05
7,2018-05-29,0.17121343,0.008594352,-0.29780552,0.0066442387,-0.12482972,0.003346788,0.07301757,0.0026920922,0.102941215,0.0022939024,0.1570104,0.0026002745,0.20536028,0.004137837,0.29016262,0.0021055052,0.37293622,0.0027254003,0.29321945,0.0040401183,0.0017500068,5.0284056e-05
8,2018-06-01,0.17404938,0.009573278,-0.2969368,0.007990589,-0.12052191,0.0058658887,0.07238112,0.0022819156,0.10074436,0.002376195,0.15348366,0.002733521,0.19919997,0.0042092116,0.28311914,0.0033608777,0.3607128,0.0038198729,0.29679996,0.0045393314,0.0018703063,7.538481e-05
9,2018-06-05,,,,,,,,,,,,,,,,,,,,,,
10,2018-06-09,,,,,,,,,,,,,,,,,,,,,,
11,2018-06-13,0.2230704,0.012609086,-0.33138773,0.0114475675,-0.11235394,0.0071445243,0.072756425,0.0006390658,0.101344936,0.0034840626,0.1569494,0.0037965777,0.19853869,0.00501411,0.31247312,0.0011366699,0.3916131,0.005225118,0.31698066,0.007163474,0.0020794584,4.0395826e-05
