,Month,NDVI_mean,NDVI_std,NDWI_mean,NDWI_std,NDMI_mean,NDMI_std,Band_4_mean,Band_4_std,Band_5_mean,Band_5_std,Band_6_mean,Band_6_std,Band_7_mean,Band_7_std,Band_8_mean,Band_8_std,Band_9_mean,Band_9_std,Band_10_mean,Band_10_std,Band_11_mean,Band_11_std
0,2018-05-01,0.18892771,0.011548771,-0.317356,0.012176259,-0.14587036,0.013026089,0.06028559,0.0033063416,0.085510895,0.0050383843,0.137064,0.010771122,0.18049064,0.014606016,0.26422817,0.016503358,0.35404113,0.013334088,0.2915525,0.013294249,0.0016310426,9.3263574e-05
1,2018-05-05,0.18892771,0.011548771,-0.317356,0.012176259,-0.14587036,0.013026089,0.06028559,0.0033063416,0.085510895,0.0050383843,0.137064,0.010771122,0.18049064,0.014606016,0.26422817,0.016503358,0.35404113,0.013334088,0.2915525,0.013294249,0.0016310426,9.3263574e-05
2,2018-05-09,0.19013086,0.01434831,-0.32218364,0.015415196,-0.16455917,0.014382845,0.06941347,0.005015786,0.08911439,0.007719518,0.13948625,0.012477103,0.18519753,0.0167937,0.27176693,0.019749653,0.37822807,0.017178288,0.3190295,0.015315431,0.0017188609,6.7958725e-05
3,2018-05-13,0.16634446,0.0059311613,-0.28634852,0.006854517,-0.12217569,0.0049428935,0.061321784,0.0029944936,0.09526874,0.0045550484,0.15588857,0.006993433,0.20083064,0.008794372,0.28089273,0.010037284,0.35898122,0.009607681,0.2917843,0.009239671,0.0022661365,7.3408635e-05
4,2018-05-17,0.1794411,0.010712921,-0.3060505,0.011086332,-0.1507042,0.013120114,0.063247465,0.0025971879,0.08955858,0.0053488608,0.14329572,0.010077433,0.18770331,0.014050097,0.26952612,0.016099377,0.36475486,0.012622645,0.3012233,0.011982673,0.0022087928,6.9395035e-05
5,2018-05-21,0.18688029,0.010229274,-0.32196417,0.010268919,-0.16480002,0.012794161,0.06497866,0.0026422502,0.08673854,0.0041905837,0.13535064,0.010061937,0.18089326,0.014637796,0.26375815,0.017422805,0.36737415,0.015282049,0.31027994,0.01517885,0.0015511272,9.330207e-05
6,2018-05-25,0.18688029,0.010229274,-0.32196417,0.010268919,-0.16480002,0.012794161,0.06497866,0.0026422502,0.08673854,0.0041905837,0.13535064,0.010061937,0.18089326,0.014637796,0.26375815,0.017422805,0.36737415,0.015282049,0.31027994,0.01517885,0.0015511272,9.330207e-05
7,2018-05-29,0.16771662,0.010314356,-0.29300165,0.011040304,-0.14092611,0.009857241,0.06760104,0.004075279,0.0965726,0.0069900393,0.15420873,0.010418561,0.2010146,0.013439596,0.2817678,0.014381036,0.37392044,0.012015967,0.30139956,0.010917216,0.001575436,6.790288e-05
8,2018-06-01,0.16879001,0.008020753,-0.29396665,0.009133967,-0.13538304,0.007920919,0.06485777,0.0039538066,0.09381886,0.0060910084,0.14963828,0.008808078,0.19502589,0.011211525,0.2740655,0.012378738,0.35969856,0.01100828,0.30015284,0.010468745,0.0020293866,6.9346104e-05
9,2018-06-05,,,,,,,,,,,,,,,,,,,,,,
10,2018-06-09,,,,,,,,,,,,,,,,,,,,,,
11,2018-06-13,0.19426906,0.0124863,-0.32247734,0.014826099,-0.16884291,0.011971255,0.070365526,0.0015056873,0.08938185,0.0067264754,0.1381308,0.011171463,0.18186723,0.013911017,0.2691759,0.013817823,0.378267,0.012278642,0.3115867,0.012339744,0.0019650431,5.9368358e-05
12,2018-06-17,0.17663313,0.0071404693,-0.2816218,0.00568313,-0.14505194,0.009944367,0.07301004,0.0043069622,0.099683315,0.005694854,0.1600986,0.009589612,0.19992189,0.01280624,0.28548464,0.014653527,0.3821113,0.013861531,0.31349817,0.01369675,0.0016597492,0.000103329134
13,2018-06-21,,,,,,,,,,,,,,,,,,,,,,
14,2018-06-25,,,,,,,,,,,,,,,,,,,,,,
15,2018-06-29,,,,,,,,,,,,,,,,,,,,,,
16,2018-07-01,,,,,,,,,,,,,,,,,,,,,,
