,Month,NDVI_mean,NDVI_std,NDWI_mean,NDWI_std,NDMI_mean,NDMI_std,Band_4_mean,Band_4_std,Band_5_mean,Band_5_std,Band_6_mean,Band_6_std,Band_7_mean,Band_7_std,Band_8_mean,Band_8_std,Band_9_mean,Band_9_std,Band_10_mean,Band_10_std,Band_11_mean,Band_11_std
0,2018-05-01,0.23728777,0.023104234,-0.33559895,0.020110432,-0.06282218,0.016568214,0.07046008,0.0034892154,0.09701207,0.004082189,0.15136786,0.0052629863,0.18759382,0.0068526585,0.30429175,0.0072283805,0.34508014,0.0074553248,0.2690211,0.012593104,0.0016480484,6.971566e-05
1,2018-05-05,0.22177233,0.022748213,-0.3341546,0.018606137,-0.081426375,0.01170672,0.06466531,0.0013777751,0.09213822,0.0036541722,0.14600854,0.0045733475,0.1863905,0.0068911505,0.29254386,0.005218118,0.3443972,0.004772553,0.27004194,0.007907427,0.0017367132,4.8225495e-05
2,2018-05-09,0.24996397,0.032415252,-0.36898592,0.027765222,-0.088595994,0.015885197,0.06611718,0.0025094482,0.086829305,0.005956271,0.13592365,0.0075753382,0.1770133,0.010512222,0.29473656,0.007019336,0.3520435,0.007937635,0.27475604,0.012279748,0.0017227913,0.00011731602
3,2018-05-13,0.19441886,0.016087567,-0.3004606,0.01238187,-0.0755422,0.008132378,0.06488374,0.0011761999,0.10012018,0.003018149,0.1614549,0.0036193058,0.20246527,0.0055919164,0.30012497,0.0035779504,0.34917757,0.0039078537,0.27135858,0.006846695,0.00217939,5.817213e-05
4,2018-05-17,0.21760519,0.020665973,-0.32697305,0.01662888,-0.090600885,0.010021846,0.06696435,0.0015960375,0.09333628,0.003927951,0.14627115,0.004539662,0.18535276,0.006803933,0.28835693,0.004722612,0.34581885,0.005423823,0.27172077,0.008884825,0.0020551023,4.9703376e-05
5,2018-05-21,0.23297778,0.030827183,-0.34717247,0.024037454,-0.0993603,0.016407974,0.068734206,0.0018075593,0.09021835,0.0048025786,0.140258,0.005502188,0.18014385,0.008972266,0.2894664,0.0077684224,0.35329485,0.006865677,0.28258237,0.010862829,0.0016264553,8.588241e-05
6,2018-05-25,0.23297778,0.030827183,-0.34717247,0.024037454,-0.0993603,0.016407974,0.068734206,0.0018075593,0.09021835,0.0048025786,0.140258,0.005502188,0.18014385,0.008972266,0.2894664,0.0077684224,0.35329485,0.006865677,0.28258237,0.010862829,0.0016264553,8.588241e-05
7,2018-05-29,0.22062558,0.02372201,-0.32975188,0.019146323,-0.08841895,0.011882123,0.068722874,0.0019954345,0.09548457,0.0052238605,0.15241185,0.005663324,0.19310458,0.0079211835,0.3023399,0.0068407063,0.36098483,0.007641347,0.27591622,0.010777417,0.0014501729,5.0393504e-05
8,2018-06-01,0.20583178,0.021371745,-0.3169063,0.018162457,-0.088243134,0.010606535,0.0695857,0.0016911229,0.09796942,0.0047468054,0.15563676,0.0050645103,0.19764681,0.0072361403,0.30000868,0.0055951276,0.35806066,0.0049758535,0.2879107,0.008006315,0.0020442717,4.977215e-05
9,2018-06-05,,,,,,,,,,,,,,,,,,,,,,
10,2018-06-09,,,,,,,,,,,,,,,,,,,,,,
11,2018-06-13,0.26298353,0.03340457,-0.35577732,0.026822941,-0.07962824,0.014384284,0.07305083,0.0032812813,0.09507954,0.008086062,0.15454319,0.00938212,0.18990888,0.013319809,0.3249347,0.0070454003,0.38120857,0.009788325,0.30119273,0.013493698,0.0020807867,3.9642848e-05
12,2018-06-17,0.2564855,0.020605162,-0.32385886,0.015631452,-0.052600782,0.019553939,0.066193596,0.0032388875,0.0936937,0.0040846253,0.15205537,0.0045151203,0.1761852,0.005886802,0.29789367,0.012044169,0.3308033,0.007969959,0.25428355,0.010203823,0.0016242926,0.000101916004
13,2018-06-21,,,,,,,,,,,,,,,,,,,,,,
