,Month,NDVI_mean,NDVI_std,NDWI_mean,NDWI_std,NDMI_mean,NDMI_std,Band_4_mean,Band_4_std,Band_5_mean,Band_5_std,Band_6_mean,Band_6_std,Band_7_mean,Band_7_std,Band_8_mean,Band_8_std,Band_9_mean,Band_9_std,Band_10_mean,Band_10_std,Band_11_mean,Band_11_std
0,2018-05-01,0.16637695,0.013101745,-0.27284914,0.009030963,-0.14202526,0.008884815,0.079176396,0.0023984786,0.104965515,0.0030484733,0.16505986,0.0052687116,0.20656598,0.008351514,0.2888532,0.005359076,0.38454714,0.009619642,0.32838127,0.009424826,0.0016299972,0.00016566475
1,2018-05-05,0.17029233,0.0048475927,-0.29415604,0.0050966847,-0.14367737,0.0048526437,0.07278706,0.0011000043,0.10064717,0.0015989246,0.15746786,0.0029055893,0.20470992,0.0044468064,0.28872794,0.005515215,0.38565123,0.008998519,0.31991988,0.007566598,0.0018900582,6.138281e-05
2,2018-05-09,0.18121012,0.011079546,-0.30369052,0.010609498,-0.16336659,0.010809151,0.078694284,0.00028048237,0.09775188,0.0017824542,0.15182142,0.0023099566,0.19704391,0.0029412399,0.28427818,0.004400078,0.3952838,0.003854007,0.3342107,0.005398435,0.0018250084,4.3328135e-05
3,2018-05-13,0.15397236,0.003343487,-0.27344808,0.003363037,-0.12215375,0.0033614002,0.07219457,0.0009901919,0.10807578,0.0016914592,0.17339833,0.0024707506,0.2228241,0.0038231628,0.30393213,0.005114661,0.3885274,0.0071585113,0.31622598,0.0064558596,0.0022756888,8.495607e-05
4,2018-05-17,0.1614812,0.005603015,-0.28081748,0.004358083,-0.15047614,0.005609148,0.0753581,0.0011826792,0.10321328,0.001595296,0.16115522,0.0022899858,0.20721582,0.0038546834,0.28700367,0.0036273922,0.3887113,0.006847358,0.3242605,0.0064512454,0.0022690648,0.00014243042
5,2018-05-21,0.17754264,0.0070685986,-0.30786052,0.006372381,-0.16405201,0.006564898,0.076247655,0.0002362558,0.09705996,0.0010212176,0.15022805,0.0011086644,0.19827062,0.0015589336,0.28388572,0.0031156733,0.3952962,0.002435298,0.33604315,0.0033308386,0.0017440858,4.9648064e-05
6,2018-05-25,0.17754264,0.0070685986,-0.30786052,0.006372381,-0.16405201,0.006564898,0.076247655,0.0002362558,0.09705996,0.0010212176,0.15022805,0.0011086644,0.19827062,0.0015589336,0.28388572,0.0031156733,0.3952962,0.002435298,0.33604315,0.0033308386,0.0017440858,4.9648064e-05
7,2018-05-29,0.15857346,0.006865755,-0.27488342,0.005592338,-0.1430209,0.0061172466,0.07839818,0.00047796775,0.10748526,0.0017746104,0.16883135,0.0015647601,0.21558695,0.0026597632,0.29683918,0.0025085649,0.39591944,0.0029118045,0.32103208,0.003276152,0.0017451263,4.9761413e-05
8,2018-06-01,0.1572045,0.0045737,-0.27595916,0.004493878,-0.13959771,0.0053214314,0.07958642,0.00049714756,0.108092204,0.0012252533,0.16906045,0.0011700172,0.21698336,0.0015811133,0.29793316,0.0023127943,0.39461324,0.0026803988,0.3308524,0.003020698,0.0020419841,4.9312366e-05
9,2018-06-05,,,,,,,,,,,,,,,,,,,,,,
