,Month,NDVI_mean,NDVI_std,NDWI_mean,NDWI_std,NDMI_mean,NDMI_std,Band_4_mean,Band_4_std,Band_5_mean,Band_5_std,Band_6_mean,Band_6_std,Band_7_mean,Band_7_std,Band_8_mean,Band_8_std,Band_9_mean,Band_9_std,Band_10_mean,Band_10_std,Band_11_mean,Band_11_std
0,2018-05-01,0.18770558,0.005436938,-0.32168123,0.0059396834,-0.14245413,0.0061529786,0.055746183,0.003890493,0.08067062,0.0033798493,0.12946004,0.005754374,0.17263505,0.0099784685,0.25233087,0.012772252,0.3360316,0.014023963,0.2729612,0.011909711,0.0017135645,7.657835e-05
1,2018-05-05,0.18770558,0.005436938,-0.32168123,0.0059396834,-0.14245413,0.0061529786,0.055746183,0.003890493,0.08067062,0.0033798493,0.12946004,0.005754374,0.17263505,0.0099784685,0.25233087,0.012772252,0.3360316,0.014023963,0.2729612,0.011909711,0.0017135645,7.657835e-05
2,2018-05-09,0.19699855,0.008552846,-0.3377433,0.0106970295,-0.1724065,0.008965151,0.060982976,0.0021448534,0.0778998,0.0044760834,0.12313947,0.008084474,0.16712657,0.014416059,0.24893917,0.018828904,0.35229772,0.020918148,0.29209676,0.016455734,0.0016627074,8.786361e-05
3,2018-05-13,0.16725183,0.0030698024,-0.29423964,0.004418237,-0.11964868,0.0026364522,0.055469427,0.001146008,0.08936535,0.0026361444,0.14800179,0.004428314,0.19368654,0.007414645,0.2714577,0.009533824,0.3452225,0.011397056,0.27604112,0.009490618,0.0021092636,8.8180845e-05
4,2018-05-17,0.18177423,0.0068401597,-0.31468004,0.0061163097,-0.15243581,0.0073364023,0.057421613,0.0049617058,0.08172294,0.0038882073,0.13179906,0.0070134047,0.17518245,0.011448133,0.2528577,0.013647493,0.3436285,0.014648966,0.27995846,0.012176648,0.0021116459,0.00011091854
5,2018-05-21,0.19460146,0.005499662,-0.33550084,0.006529043,-0.17006226,0.007739925,0.06179789,0.002060197,0.078894004,0.0041787657,0.12268814,0.007405617,0.16638559,0.012212648,0.24666804,0.016211761,0.34750858,0.018438358,0.28878838,0.014790231,0.001628967,8.2609266e-05
6,2018-05-25,0.19460146,0.005499662,-0.33550084,0.006529043,-0.17006226,0.007739925,0.06179789,0.002060197,0.078894004,0.0041787657,0.12268814,0.007405617,0.16638559,0.012212648,0.24666804,0.016211761,0.34750858,0.018438358,0.28878838,0.014790231,0.001628967,8.2609266e-05
7,2018-05-29,0.17405877,0.0059863306,-0.30738607,0.006601866,-0.14968522,0.005480997,0.059531797,0.0016843599,0.08630544,0.0040319134,0.14040987,0.007236653,0.1865737,0.011710378,0.26507896,0.014175439,0.35825375,0.015909977,0.2848487,0.01240398,0.0015099322,8.327731e-05
8,2018-06-01,0.17437847,0.004556885,-0.30736774,0.006500859,-0.1408985,0.0045469757,0.058045242,0.0014404646,0.08440026,0.003278072,0.13664189,0.0052956063,0.18141331,0.009057333,0.25799787,0.011796444,0.34254843,0.01378066,0.28264987,0.0115636885,0.001988356,0.000102362304
9,2018-06-05,,,,,,,,,,,,,,,,,,,,,,
10,2018-06-09,,,,,,,,,,,,,,,,,,,,,,
11,2018-06-13,0.20017843,0.0068671596,-0.33680296,0.007894762,-0.1704402,0.006418572,0.06230643,0.0026167314,0.07865134,0.0049564433,0.12558432,0.008472041,0.16885312,0.013482225,0.25320652,0.017840438,0.35700986,0.021329384,0.29204056,0.019040802,0.0020467942,6.542556e-05
12,2018-06-17,0.17905752,0.0053550033,-0.28291693,0.011678802,-0.13619213,0.012469798,0.059509516,0.007222538,0.084438235,0.0070932265,0.14012085,0.009043468,0.17471893,0.013461128,0.25107184,0.020786399,0.3309524,0.034027394,0.26473838,0.03307184,0.0016441196,0.00016780595
13,2018-06-21,,,,,,,,,,,,,,,,,,,,,,
14,2018-06-25,,,,,,,,,,,,,,,,,,,,,,
15,2018-06-29,,,,,,,,,,,,,,,,,,,,,,
16,2018-07-01,,,,,,,,,,,,,,,,,,,,,,
