,Month,NDVI_mean,NDVI_std,NDWI_mean,NDWI_std,NDMI_mean,NDMI_std,Band_4_mean,Band_4_std,Band_5_mean,Band_5_std,Band_6_mean,Band_6_std,Band_7_mean,Band_7_std,Band_8_mean,Band_8_std,Band_9_mean,Band_9_std,Band_10_mean,Band_10_std,Band_11_mean,Band_11_std
0,2018-05-01,0.17313865,0.0022783473,-0.28876552,0.0025381253,-0.1336194,0.0016361396,0.05590917,0.0011036855,0.08181158,0.00094654714,0.127564,0.0015554524,0.16291583,0.0020174163,0.23115641,0.0033091735,0.3024368,0.0036626435,0.24698627,0.0020045394,0.0016183691,5.743335e-05
1,2018-05-05,0.17313865,0.0022783473,-0.28876552,0.0025381253,-0.1336194,0.0016361396,0.05590917,0.0011036855,0.08181158,0.00094654714,0.127564,0.0015554524,0.16291583,0.0020174163,0.23115641,0.0033091735,0.3024368,0.0036626435,0.24698627,0.0020045394,0.0016183691,5.743335e-05
2,2018-05-09,0.18960348,0.00395593,-0.31212413,0.0034184563,-0.16445896,0.0059392173,0.055981558,0.000821973,0.07464729,0.0012274497,0.11640459,0.0020112614,0.15126306,0.0025640198,0.22206852,0.005187926,0.30943063,0.003496425,0.258266,0.002320531,0.0015974395,1.6418055e-05
3,2018-05-13,0.15624163,0.0024929296,-0.27115172,0.0020270983,-0.115034886,0.0014107417,0.05725831,0.0004234319,0.08999079,0.0005563947,0.14444314,0.0010438286,0.1838197,0.0011084183,0.2519158,0.0026137389,0.3173933,0.0025006952,0.25433674,0.0015248365,0.0021200923,9.752575e-05
4,2018-05-17,0.1671448,0.0015241909,-0.28097707,0.0028777816,-0.143123,0.00243555,0.05842792,0.0007660087,0.083732635,0.0008325665,0.13081276,0.0013516552,0.16629234,0.0019912755,0.23304754,0.0031193916,0.3108741,0.0026519548,0.2544237,0.001864544,0.001977039,5.5795877e-05
5,2018-05-21,0.18344034,0.0013949887,-0.30929506,0.0042806794,-0.16346556,0.0035729324,0.061054274,0.0010712389,0.07793793,0.0013753126,0.11846166,0.0020524892,0.15495396,0.0036185845,0.22458068,0.005564724,0.3123084,0.005507218,0.26077488,0.0030402709,0.0014738617,5.7020912e-05
6,2018-05-25,0.18344034,0.0013949887,-0.30929506,0.0042806794,-0.16346556,0.0035729324,0.061054274,0.0010712389,0.07793793,0.0013753126,0.11846166,0.0020524892,0.15495396,0.0036185845,0.22458068,0.005564724,0.3123084,0.005507218,0.26077488,0.0030402709,0.0014738617,5.7020912e-05
7,2018-05-29,0.15868612,0.0016212122,-0.2762841,0.0013372641,-0.13381635,0.0014555568,0.05661802,0.00059280597,0.08477089,0.00064598833,0.13592194,0.0009089157,0.17404513,0.0013427826,0.23969801,0.0020768342,0.31375837,0.0019945286,0.24790174,0.0014665712,0.0017218887,6.285797e-05
8,2018-06-01,0.1643557,0.0013304853,-0.2806294,0.0020854757,-0.12602937,0.001553927,0.061113726,0.0008517314,0.08821422,0.0009984999,0.13937981,0.0014836448,0.17808053,0.002256139,0.2481242,0.0032931613,0.31968302,0.0035987275,0.26428384,0.0023794516,0.0018081594,5.609753e-05
9,2018-06-05,,,,,,,,,,,,,,,,,,,,,,
