,Month,NDVI_mean,NDVI_std,NDWI_mean,NDWI_std,NDMI_mean,NDMI_std,Band_4_mean,Band_4_std,Band_5_mean,Band_5_std,Band_6_mean,Band_6_std,Band_7_mean,Band_7_std,Band_8_mean,Band_8_std,Band_9_mean,Band_9_std,Band_10_mean,Band_10_std,Band_11_mean,Band_11_std
0,2018-05-01,0.27090612,0.062988736,-0.3788597,0.04289398,-0.05357855,0.053060733,0.060185213,0.007594842,0.08438442,0.008860557,0.14087291,0.011026859,0.17992371,0.020445503,0.31250542,0.0098732,0.34908256,0.029490616,0.27087665,0.034566585,0.0016432822,0.00012868845
1,2018-05-05,0.24090265,0.039776135,-0.3684035,0.026963206,-0.07201528,0.028310044,0.060645875,0.0022397279,0.08836475,0.0044640107,0.14348455,0.005767407,0.19034496,0.011585965,0.31096292,0.008733484,0.35931394,0.0115859555,0.2792149,0.016480127,0.0017673094,5.269165e-05
2,2018-05-09,0.3207105,0.07186872,-0.43686458,0.045561448,-0.047564313,0.046828646,0.05940808,0.0037723861,0.07705883,0.00854405,0.13039567,0.010771383,0.17169768,0.021566752,0.33283588,0.014856361,0.36638567,0.020843389,0.27885664,0.026908996,0.0017914794,6.566466e-05
3,2018-05-13,0.21953596,0.03567456,-0.33869165,0.02418253,-0.059369173,0.026643561,0.0608585,0.0025818155,0.09684159,0.004976569,0.1608599,0.005400634,0.20854354,0.010956523,0.3257311,0.008747305,0.3669143,0.011082635,0.2814067,0.016296187,0.0022661865,4.7094814e-05
4,2018-05-17,0.26782736,0.06314418,-0.3837796,0.042199902,-0.059854202,0.04795452,0.055503618,0.0036767717,0.084698886,0.0060405615,0.14095508,0.007903134,0.18318218,0.016856933,0.31701165,0.015511564,0.35751376,0.0183269,0.27459264,0.025539428,0.0021671762,8.561233e-05
5,2018-05-21,0.29044154,0.08322418,-0.41774294,0.054864,-0.06523637,0.055411838,0.060907897,0.0018642346,0.08061461,0.008580168,0.13251738,0.010757464,0.17810939,0.02263394,0.32340613,0.01953488,0.36856896,0.020128876,0.28704378,0.028586634,0.0016195237,0.000101096426
6,2018-05-25,0.29044154,0.08322418,-0.41774294,0.054864,-0.06523637,0.055411838,0.060907897,0.0018642346,0.08061461,0.008580168,0.13251738,0.010757464,0.17810939,0.02263394,0.32340613,0.01953488,0.36856896,0.020128876,0.28704378,0.028586634,0.0016195237,0.000101096426
7,2018-05-29,0.25703037,0.063243456,-0.37281558,0.0441292,-0.053337637,0.046625346,0.05913229,0.0032815265,0.08992881,0.008187564,0.15018062,0.009625894,0.19469975,0.018491132,0.3290099,0.014523058,0.3663097,0.018988276,0.27402753,0.027406214,0.0017118972,0.000111026406
8,2018-06-01,0.24408886,0.054902468,-0.3641677,0.03859077,-0.06406945,0.037724346,0.06477733,0.0026654631,0.09397855,0.007188471,0.15308912,0.008283994,0.19988516,0.015987063,0.32873136,0.013495861,0.37376928,0.014453806,0.29528025,0.020899588,0.0019426794,6.3975975e-05
9,2018-06-05,,,,,,,,,,,,,,,,,,,,,,
