,Month,NDVI_mean,NDVI_std,NDWI_mean,NDWI_std,NDMI_mean,NDMI_std,Band_4_mean,Band_4_std,Band_5_mean,Band_5_std,Band_6_mean,Band_6_std,Band_7_mean,Band_7_std,Band_8_mean,Band_8_std,Band_9_mean,Band_9_std,Band_10_mean,Band_10_std,Band_11_mean,Band_11_std
0,2018-05-01,0.20615268,0.01739376,-0.32961878,0.014552152,-0.10278932,0.018872112,0.07198065,0.0022703982,0.09696005,0.0034911425,0.15399481,0.0064973314,0.20106235,0.009145634,0.3054709,0.0125968205,0.375275,0.008995722,0.30003604,0.011729599,0.0015843342,0.00014381441
1,2018-05-05,0.20129317,0.013720226,-0.33736762,0.01179629,-0.098020025,0.012038244,0.06751012,0.0018751157,0.09504959,0.0030260286,0.15130004,0.004458661,0.20304196,0.006243059,0.3053779,0.0082548475,0.37164494,0.004039996,0.29360437,0.006018901,0.0018145675,7.7227334e-05
2,2018-05-09,0.2244731,0.022156203,-0.36589333,0.016291188,-0.111816354,0.022606177,0.07059355,0.0027464083,0.09057122,0.004400589,0.1446942,0.007078082,0.19742614,0.010102618,0.31176126,0.015421971,0.38989377,0.0073707835,0.3106957,0.009634295,0.0017785912,6.8482484e-05
3,2018-05-13,0.18215854,0.0118552195,-0.31055638,0.009536832,-0.081641786,0.010008147,0.06669412,0.0014545151,0.10230772,0.0022977097,0.16770846,0.003486543,0.2205582,0.0048704087,0.31880805,0.0060639717,0.37544388,0.003442481,0.29362053,0.005833142,0.002317014,6.496135e-05
4,2018-05-17,0.20079327,0.018533967,-0.33223557,0.015020061,-0.105473675,0.016766699,0.06921197,0.0020140675,0.09674253,0.003262906,0.15331669,0.0050205197,0.20361347,0.007371574,0.3059518,0.01055773,0.37794966,0.005997324,0.29911447,0.008527409,0.0020841595,9.352139e-05
5,2018-05-21,0.21632917,0.024798661,-0.36263624,0.0197632,-0.11684317,0.020619847,0.06832759,0.0015130067,0.09028406,0.004278082,0.14461905,0.0065124426,0.19924544,0.009505577,0.3092503,0.012835321,0.39082417,0.00588524,0.31489772,0.009201719,0.0017285148,6.875086e-05
6,2018-05-25,0.21632917,0.024798661,-0.36263624,0.0197632,-0.11684317,0.020619847,0.06832759,0.0015130067,0.09028406,0.004278082,0.14461905,0.0065124426,0.19924544,0.009505577,0.3092503,0.012835321,0.39082417,0.00588524,0.31489772,0.009201719,0.0017285148,6.875086e-05
7,2018-05-29,0.19486843,0.01732897,-0.3259032,0.014872349,-0.097052746,0.014979126,0.06976369,0.0023234356,0.10062953,0.0032155174,0.16162528,0.0050069615,0.21421608,0.006402803,0.31794685,0.009330238,0.38618824,0.00575342,0.29558563,0.007711968,0.0017511864,6.811141e-05
8,2018-06-01,0.19212854,0.017896868,-0.32400963,0.015259794,-0.098149486,0.013927039,0.07393339,0.00259764,0.103614084,0.0037897008,0.1641383,0.005242035,0.21787746,0.0070901774,0.32149962,0.008792103,0.39138043,0.0048627798,0.31529573,0.0075131278,0.0019097897,0.00010445508
9,2018-06-05,,,,,,,,,,,,,,,,,,,,,,
10,2018-06-09,,,,,,,,,,,,,,,,,,,,,,
11,2018-06-13,0.20147192,0.019289896,-0.33576974,0.017929837,-0.10472184,0.0145054,0.07047325,0.0020402763,0.096868016,0.0045793457,0.15571885,0.0063420385,0.20813106,0.0079723,0.3131183,0.009444314,0.38626444,0.006388567,0.3059555,0.008027154,0.0020216485,9.39255e-05
12,2018-06-17,0.198934,0.018013474,-0.30753064,0.015715232,-0.088739276,0.01878353,0.073133245,0.0035518042,0.103190295,0.0038041705,0.17173295,0.005049915,0.21666281,0.006152465,0.3243553,0.010498483,0.3874362,0.008201887,0.29821274,0.00974586,0.0013492582,0.00024066625
13,2018-06-21,,,,,,,,,,,,,,,,,,,,,,
14,2018-06-25,,,,,,,,,,,,,,,,,,,,,,
